DAERAH,MUKIM,KAWASAN,LATITUDE,LONGITUDE,KEDALAMAN
Pendang,Ayer Puteh,Kg. Hampar,5.985671,100.48827,0.5
Pendang,Ayer Puteh,Kg Tok Besah,5.983196,100.483018,0.5
Pendang,Guar Kepayang,Kg. Alor Punti,6.0352,100.4937,0.2
Pendang,Guar Kepayang,Kg. Banggol Besi,6.022313,100.478355,1
Pendang,Bukit Raya,Kg Alor Ali,6.034637,100.465408,0.2
Pendang,Bukit Raya,Kg Tanjung Raden,6.009456,100.469081,0.2
Yan,Yan,Kg Teroi Bukit,5.83974,100.441601,0.2
Yan,Singkir,Kg Singkir Genting,5.738267,100.377922,0.2
Yan,Yan,Kg Perigi,5.81122,100.397,0.1
Pokok Sena,Derang,Kg. Derang,6.2085,100.473,0.6
Kubang Pasu,Binjal,Kg. Tebing/Kg.Pahana/Kg.Makpap,6.3175,100.421,0.5-1.0m
Kubang Pasu,Sg Laka,Kg. Nangmah/Kg. Sg. Petani/Kg. Paya Nongmi,6.4323,100.421,0.5-1.0m
Kubang Pasu,Kubang Pasu,Taman Osman Aroff,6.37,100.434,0.5-1.0m
Kubang Pasu,Pelubang,Kg. Lubuk Batu/Kg. Pdg. Teja,6.21694,100.457,0.5-1.0m
Kubang Pasu,Temin,Market Changlun,6.41167,100.444,0.5-1.0m
Kubang Pasu,Husba,Kg. Kubang Betong,6.35651,100.435,0.5-1.0m
Kubang Pasu,Malau,Kg. Malau/Kg. Lahar/Kg. Paya Tok Teh,6.29008,100.433,0.5-1.0m
Kubang Pasu,Jitra,Kg. Belukar/Kg. Padang/Taman Sri Utama,6.27331,100.433,0.5-1.0m
Kubang Pasu,Naga,Kg. Padang Pekan/Kg. Naga,6.24899,100.37,0.5-1.0m
Kulim,Karangan,Kg Padang Limau,5.43481,100.65,0.5-1.0m
Kulim,Karangan,Kg Banggol Penyengat,5.42789,100.666,0.5-1.0m
Kulim,Mahang,Kg Ulu Mahang,5.34757,100.77,0.5-1.0m
Kulim,Mahang,Kg Paya,5.32167,100.758,0.5-1.0m
Kulim,Sidam Kanan,Taman Serai Setia,5.52033,100.553,0.5-1.0m
Kulim,Sg Seluang,Kg Sg Seluang,5.446151,100.553846,0.5-1.0m
Bandar Baharu,Serdang,Kg Tengah,5.21462,100.607,0.5-1.0m
Bandar Baharu,Relau,Kg Paya Semambu,5.233356,100.55721,0.5-1.0m
Bandar Baharu,Sg Batu,Kg Sg Tengas,5.27609,100.68,0.5-1.0m
Bandar Baharu,Relau,Kg 300 Kaki,5.23149,100.540851,0.5-1.0m
Bandar Baharu,Bagan Samak,Kg. Sg. Tepus,5.1235,100.527,0.5-1.0m
Bandar Baharu,Bagan Samak,Taman Cahaya Nilam,5.1176,100.528,0.5-1.0m
Bandar Baharu,Sg Kechil,Kg Balai Lama,5.176738,100.55832,0.5-1.0m
Bandar Baharu,Bagan Samak,Kg Parit Nibong,5.11641,100.527,0.5-1.0m
Bandar Baharu,Kuala Selama,Kg Tebok Mat Rashid,5.115194444,100.530225,0.5-1.0m
